,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dose,dinf
0,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,10.0,1.2937638550963604,6.901684781156531,0.6327031342131307,1.2610709842943055,0.057803607822057186,72894.45261192367,22477.57891755992,0.0,24298.150870641093,24298.150870641093
1,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,19.9,2.452386881052497,10.72194216335212,2.278817599022131,0.3501309118914603,0.03720802391240534,13027.679342129743,2119.2790359640735,0.0,4342.559780709913,4342.559780709913
2,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,29.8,3.569149937778336,13.884815256575616,4.833619063865557,0.16506980239555774,0.028732271407968524,4742.830363688898,530.1305895893456,0.0,1580.9434545629658,1580.9434545629658
3,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,39.7,4.6595150237823555,16.476564547204894,6.314269881259119,0.12636212353940196,0.024212710074267865,3059.569461628358,261.9567941810792,0.0,1019.8564872094527,1019.8564872094527
4,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,49.6,5.730644399386074,18.769764565788645,7.360869369336548,0.10839542361173986,0.02125451701874719,2303.8923759100358,160.3868630102908,0.0,767.9641253033452,767.9641253033452
5,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,59.5,6.786682061243109,20.879370794037843,8.343975231000782,0.09562403206906958,0.019107006831611595,1827.0890340099586,107.40197627452602,0.0,609.0296780033195,609.0296780033195
6,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,69.4,7.8303281069214705,22.847557706156575,9.277222367907205,0.08600468163054231,0.01746104706385893,1501.7317936631027,76.51075384513263,0.0,500.57726455436756,500.57726455436756
7,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,79.3,8.863479460715485,24.702236906036326,10.169798486077063,0.07845627993886897,0.01615004673135273,1267.0725873808256,57.03051828396132,0.0,422.3575291269418,422.3575291269418
8,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,89.2,9.887540447541221,26.463052046441014,11.028269098267714,0.07234902870188688,0.015075444801352231,1090.6937886267438,44.007290747683925,0.0,363.56459620891457,363.56459620891457
9,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,99.10000000000001,10.903591687598006,28.14446859667148,11.857533479379535,0.0672892519639937,0.014174802378347758,953.8118487764594,34.89821381128887,0.0,317.93728292548644,317.93728292548644
10,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,109.0,11.912489824052441,30.057039215324853,12.917504938027921,0.06176769912145461,0.013272840266915857,819.8328040939859,27.455718598204275,0.0,273.27760136466196,273.27760136466196
11,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,118.9,12.914930185226682,31.947102980511513,13.994590008703225,0.05701378591796314,0.01248758864441627,711.9647056043367,21.992594551074877,0.0,237.3215685347789,237.3215685347789
12,3,3,100000,D,0,1000000.0,0,0,0,0,0.0,sample,0,0,0,5000,0,0,128.8,13.9114881233468,33.79070981031369,15.064626720193221,0.05296411081832202,0.011806271091697117,625.3086504517978,17.932090136879438,0.0,208.43621681726592,208.43621681726592
