,index,x,D0,sig_x,sig_y,sig_z,D0U/Q,coef_y,expon_y,coef_z,expon_z,iwind,istab,wind,stab,how
0,0,1.0,158724.52000000002,0.1522,1.5953823243287808,0.13690469863246,1.4573605111848815,1.5953823243287808,0.4345247483086614,0.13690469863246,0.9966866113807874,1,0,0.8,A,fit
1,1,3.1622776601683795,39699.17227085397,0.443725770736577,2.631038179308829,0.4312823242076855,0.2805183771803231,0.7236110862827483,1.1212438765272044,0.1166504679509524,1.135750347866807,1,0,0.8,A,fit
2,2,10.0,2930.1430234938484,1.2936436242823213,9.566412168367236,1.59454519507107,0.0208672013013342,2.290800938382503,0.620761736152355,0.0153731221305315,2.015874755787804,1,0,0.8,A,fit
3,3,31.6227766016838,132.8567809331943,3.771504692793245,19.549243521233727,16.23955824058966,0.0010026421539392,0.2768430076791159,1.2325975984744784,0.0090002658216273,2.170879249758241,1,0,0.8,A,fit
4,4,100.0,3.1258921,10.995491633681334,80.8032363911223,197.70326244158764,1.992542234168991e-05,0.8649196811059293,0.985226488143619,0.3735183543921412,1.3618509442078337,1,0,0.8,A,fit
5,5,316.227766016838,0.2124494685009285,32.05639290264675,251.2129363512559,948.2859326787236,1.336191852674198e-06,0.5528420560453717,1.0629763705658226,0.685735344389325,1.2563131093963884,1,0,0.8,A,fit
6,6,1000.0,0.0139823954677291,93.45760609567321,854.1422115742014,4028.059367532999,9.251754059898364e-08,0.0962824774219936,1.3159943095617683,26.064585525264054,0.729681679845674,1,0,0.8,A,fit
7,7,1778.2794100389228,0.0045842423,159.57492626782852,1821.917731473668,6130.787775063498,2.849738974148252e-08,0.658204786131948,1.059128531265605,485.52445075516414,0.3388631314158547,1,0,0.8,A,fit
8,8,3162.2776601683795,0.0019086791999999,272.46746580813414,3352.0531438480525,7451.300283512316,1.2744041186115416e-08,0.4207622486074468,1.1146497508569644,13626.652302667826,-0.0749020311490323,1,0,0.8,A,fit
9,9,5623.413251903491,0.001061962827087,465.22672239438015,6367.564210517341,7136.849816141056,7.004388662847169e-09,34.04456321828706,0.6058468177075701,2079.8160992927174,0.142795099243965,1,0,0.8,A,fit
10,10,10000.0,0.0006893699888343,794.3550346015521,9024.747037092786,7748.280466755582,4.5520786506982036e-09,1.3879497545385229,0.9532653232732002,3814.3771237942015,0.0769454258762084,1,0,0.8,A,fit
11,11,31622.776601683792,0.0002187483909127,2315.872535920197,27043.798982294986,8465.995738974725,1.3902867462463344e-09,94.6957253449096,0.5457194053704273,3.377273894170275,0.7553581694576763,1,0,0.8,A,fit
12,12,100000.0,6.363165e-05,6751.723560636403,50690.59650371837,20200.26795100727,3.1086053864132656e-10,,,,,1,0,0.8,A,fit
13,0,1.0,254669.52,0.1522,1.1523409706086696,0.101609424077529,2.718536287069929,1.1523409706086696,1.0169445588690051,0.101609424077529,0.6712949563630902,1,1,0.8,B,fit
14,1,3.1622776601683795,68508.6125555211,0.443725770736577,3.715808147077412,0.2200804513090315,0.3892381293755625,1.3164629357493596,0.9012892925993308,0.0837254888535946,0.839447552014283,1,1,0.8,B,fit
15,2,10.0,7072.556654130767,1.2936436242823213,10.48812679107254,0.5785025051699948,0.0524622550441353,2.788360204110173,0.5753490531106867,0.0073207974195024,1.897746854718832,1,1,0.8,B,fit
16,3,31.6227766016838,369.4535,3.771504692793245,20.341007290314344,5.142551757112529,0.0030429793171536,0.4365116873803647,1.1122510528309972,0.000721713780965,2.5685424488020923,1,1,0.8,B,fit
17,4,100.0,6.502433699999999,10.995491633681334,73.1977921760476,98.95776903717018,4.394426952468211e-05,0.6607582597366345,1.0222276905932628,0.1688015911126973,1.3840366798990231,1,1,0.8,B,fit
18,5,316.227766016838,0.4395499989791687,32.05639290264675,237.4716813598468,486.9319096479864,2.752770873433334e-06,0.8118732694793196,0.9864494337836556,0.2828669745437937,1.2943543961132695,1,1,0.8,B,fit
19,6,1000.0,0.0294648073846328,93.45760609567321,739.3269613092629,2160.953559860259,1.9923615393492272e-07,0.4457159529280426,1.073259455188296,1.3882664402464804,1.0640575361767923,1,1,0.8,B,fit
20,7,1778.2794100389228,0.00887031,159.57492626782852,1371.3597792858109,3987.12469139262,5.821553616380559e-08,0.1357775374087812,1.232099532378674,110.1049749100753,0.4796470386153771,1,1,0.8,B,fit
21,8,3162.2776601683795,0.0033070917,272.46746580813414,2787.2523542305785,5254.986170566818,2.1732128229640972e-08,3.379035283823727,0.8332524469319335,489.4722695070275,0.2945267100184751,1,1,0.8,B,fit
22,9,5623.413251903491,0.0016408760278427,465.22672239438015,4502.869936056075,6225.915972160693,1.1354224308164751e-08,3.78221293115028,0.8201982473508447,1249.0723544024884,0.1860308423147932,1,1,0.8,B,fit
23,10,10000.0,0.0009812230975274,794.3550346015521,7220.029375115476,6929.644663203102,6.362095695363932e-09,1.0983066876274972,0.9544538341206384,1174.4872703458825,0.192715662869411,1,1,0.8,B,fit
24,11,31622.776601683792,0.0002580504090076,2315.872535920197,21665.358590754324,8651.049499370063,1.6983040635996711e-09,5.92354671744215,0.7918186808033623,7.781825224198039,0.6768860720920888,1,1,0.8,B,fit
25,12,100000.0,6.802352e-05,6751.723560636403,53910.73116434924,18858.703521650208,3.1308558492846773e-10,,,,,1,1,0.8,B,fit
26,0,1.0,493511.8,0.1522,1.3104642932381274,0.0476787552338068,5.094481936046912,1.3104642932381274,0.8022886408396975,0.0476787552338068,0.8114219742640644,1,2,0.8,C,fit
