,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dinf,dose
0,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,100.0,10.995593825744495,28.29382275584273,11.93163820895978,0.06687133351071971,0.014099978070974887,942.884336077996,34.20974193399488,0.0,314.2947786926653,314.2947786926653
1,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,599.0,58.04379706052448,104.77519592689958,63.60381866971598,0.012723418340446695,0.0038076023325193304,48.445717350704065,0.3329734775176767,0.0,16.14857245023469,16.14857245023469
2,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,1098.0,101.94145664458696,170.63296587327895,114.81354888211517,0.01,0.002338014101552383,23.380141015523833,0.09149689517738928,0.0,7.793380338507944,7.793380338507944
3,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,1597.0,144.39976758892988,240.18670080874108,170.68361128128876,0.01,0.001660967401850894,16.60967401850894,0.04588858652828177,0.0,5.536558006169646,5.536558006169646
4,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,2096.0,185.915628482945,309.5572599769148,225.00286891258293,0.01,0.0012887511681398906,12.887511681398905,0.02765433622138456,0.0,4.295837227132968,4.295837227132968
5,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,2595.0,226.73265438621556,378.90638301167166,277.8911721840041,0.01,0.0010528782260950823,10.528782260950823,0.018525679136975868,0.0,3.5095940869836078,3.5095940869836078
6,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,3094.0,266.9957561669882,447.54215943925635,330.66271105574305,0.01,0.0008914071489963841,8.914071489963842,0.01331931285695569,0.0,2.9713571633212807,2.9713571633212803
7,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,3593.0,306.8009516844152,510.2956195649659,373.6378120168934,0.01,0.0007817866058531652,7.817866058531652,0.010165800647423512,0.0,2.605955352843884,2.6059553528438837
8,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,4092.0,346.2164675780163,571.1111839333291,413.95165537339426,0.01,0.000698536977780503,6.98536977780503,0.008049181970169633,0.0,2.3284565926016767,2.3284565926016763
9,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,4591.0,385.2932301527972,630.9369704341957,453.2333191789849,0.01,0.0006323013218370928,6.323013218370928,0.006547006578197431,0.0,2.107671072790309,2.107671072790309
10,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,5090.0,424.0706721957824,689.8946173807445,491.6177922390439,0.01,0.0005782655355626021,5.78265535562602,0.005440002965552746,0.0,1.9275517852086734,1.9275517852086734
11,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,5589.0,462.5802070019438,748.080346610486,529.2109414362344,0.01,0.0005332880113867713,5.332880113867714,0.004599226948170953,0.0,1.7776267046225713,1.777626704622571
12,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,6088.0,500.8474334921686,807.9727987373253,587.995699308821,0.01,0.0004937570683380521,4.937570683380521,0.003932945596499471,0.0,1.6458568944601737,1.6458568944601737
13,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,6587.0,538.8936027909613,867.5625410950681,649.6625049390487,0.01,0.000459842675892707,4.59842675892707,0.0034042097511722486,0.0,1.5328089196423569,1.5328089196423567
14,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,7086.0,576.7366312202836,926.716842296224,712.5856072528023,0.01,0.0004304899427671255,4.304899427671255,0.002977800093849132,0.0,1.4349664758904181,1.4349664758904181
15,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,7585.0,614.3918222466958,985.4692752860456,776.6993440775633,0.01,0.00040482467633060846,4.048246763306085,0.0026286430530199556,0.0,1.3494155877686949,1.3494155877686949
16,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,8084.0,651.8723947463468,1043.8487861554584,841.9456281995667,0.01,0.0003821839769251971,3.821839769251971,0.0023389446848221694,0.0,1.273946589750657,1.273946589750657
17,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,8583.0,689.189878348315,1101.8805783582552,908.2726545353956,0.01,0.00036205582368629817,3.6205582368629816,0.002095784927663019,0.0,1.2068527456209939,1.2068527456209939
18,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,9082.0,726.3544151142322,1159.5867862635394,975.6338911357359,0.01,0.00034403831186013967,3.440383118601397,0.001889593094265947,0.0,1.1467943728671324,1.1467943728671322
19,3,3,100,D,0,1000000.0,0,0,0,0,0,sample,0,0,0,1000000.0,0,0,9581.0,763.3749936885322,1216.9869970821358,1043.987279363339,0.01,0.0003278114567846181,3.278114567846181,0.0017131534461126256,0.0,1.0927048559487271,1.092704855948727
