ID,istab,wind,x,y,z,icurve,t,sig_x,sig_y,sig_z, zfunc, cpeak, concentration, dinf, dose
54,3,3,544.6,0,6.93309e-310,0,5000,53.1283,97.2286,58.0514,0.0137445,-999,0,-999,18.7985
55,3,3,554.5,0,6.93309e-310,0,5000,54.0253,98.6136,59.0635,0.0135089,-999,0,-999,18.2169
56,3,3,564.4,0,6.93309e-310,0,5000,54.9212,99.9933,60.0748,0.0132815,-999,0,-999,17.6631
57,3,3,574.3,0,6.93309e-310,0,5000,55.816,101.368,61.0854,0.0130618,-999,0,-999,17.1353
58,3,3,584.2,0,6.93309e-310,0,5000,56.7097,102.737,62.0953,0.0128493,-999,0,-999,16.6319
59,3,3,594.1,0,6.93309e-310,0,5000,57.6024,104.102,63.1046,0.0126439,-999,0,-999,16.1514
60,3,3,604,0,6.93309e-310,0,5000,58.494,105.461,64.1131,0.012445,-999,0,-999,15.6924
61,3,3,613.9,0,6.93309e-310,0,5000,59.3845,106.816,65.121,0.0122523,-999,0,-999,15.2536
62,3,3,623.8,0,6.93309e-310,0,5000,60.2741,108.166,66.1282,0.0120657,-999,0,-999,14.8338
63,3,3,633.7,0,6.93309e-310,0,5000,61.1626,109.512,67.1347,0.0118848,-999,0,-999,14.4318
64,3,3,643.6,0,6.93309e-310,0,5000,62.0502,110.853,68.1406,0.0117094,-999,0,-999,14.0468
65,3,3,653.5,0,6.93309e-310,0,5000,62.9368,112.189,69.1459,0.0115391,-999,0,-999,13.6776
66,3,3,663.4,0,6.93309e-310,0,5000,63.8224,113.521,70.1506,0.0113739,-999,0,-999,13.3235
67,3,3,673.3,0,6.93309e-310,0,5000,64.7072,114.849,71.1547,0.0112134,-999,0,-999,12.9836
68,3,3,683.2,0,6.93309e-310,0,5000,65.591,116.173,72.1581,0.0110574,-999,0,-999,12.6572
69,3,3,693.1,0,6.93309e-310,0,5000,66.4739,117.493,73.161,0.0109059,-999,0,-999,12.3435
70,3,3,703,0,6.93309e-310,0,5000,67.3559,118.809,74.1633,0.0107585,-999,0,-999,12.0418
71,3,3,712.9,0,6.93309e-310,0,5000,68.237,120.12,75.165,0.0106151,-999,0,-999,11.7516
72,3,3,722.8,0,6.93309e-310,0,5000,69.1173,121.428,76.1662,0.0104756,-999,0,-999,11.4722
73,3,3,732.7,0,6.93309e-310,0,5000,69.9967,122.732,77.1668,0.0103397,-999,0,-999,11.2032
74,3,3,742.6,0,6.93309e-310,0,5000,70.8753,124.032,78.1669,0.0102075,-999,0,-999,10.9439
75,3,3,752.5,0,6.93309e-310,0,5000,71.753,125.328,79.1664,0.0100786,-999,0,-999,10.694
76,3,3,762.4,0,6.93309e-310,0,5000,72.63,126.621,80.1653,0.00995299,-999,0,-999,10.4529
77,3,3,772.3,0,6.93309e-310,0,5000,73.5061,127.91,81.1638,0.00983055,-999,0,-999,10.2202
78,3,3,782.2,0,6.93309e-310,0,5000,74.3815,129.196,82.1617,0.00971115,-999,0,-999,9.99565
79,3,3,792.1,0,6.93309e-310,0,5000,75.256,130.478,83.1591,0.00959467,-999,0,-999,9.77872
80,3,3,802,0,6.93309e-310,0,5000,76.1298,131.757,84.1561,0.00948101,-999,0,-999,9.5691
81,3,3,811.9,0,6.93309e-310,0,5000,77.0029,133.032,85.1525,0.00937007,-999,0,-999,9.36647
82,3,3,821.8,0,6.93309e-310,0,5000,77.8751,134.304,86.1484,0.00926175,-999,0,-999,9.17051
83,3,3,831.7,0,6.93309e-310,0,5000,78.7467,135.572,87.1438,0.00915595,-999,0,-999,8.98092
84,3,3,841.6,0,6.93309e-310,0,5000,79.6175,136.838,88.1388,0.00905259,-999,0,-999,8.79743
85,3,3,851.5,0,6.93309e-310,0,5000,80.4876,138.1,89.1333,0.00895159,-999,0,-999,8.61976
86,3,3,861.4,0,6.93309e-310,0,5000,81.3569,139.359,90.1273,0.00885286,-999,0,-999,8.44768
87,3,3,871.3,0,6.93309e-310,0,5000,82.2256,140.615,91.1208,0.00875634,-999,0,-999,8.28093
88,3,3,881.2,0,6.93309e-310,0,5000,83.0936,141.868,92.1139,0.00866193,-999,0,-999,8.11931
89,3,3,891.1,0,6.93309e-310,0,5000,83.9608,143.118,93.1065,0.00856959,-999,0,-999,7.9626
90,3,3,901,0,6.93309e-310,0,5000,84.8274,144.365,94.0987,0.00847923,-999,0,-999,7.81059
91,3,3,910.9,0,6.93309e-310,0,5000,85.6934,145.609,95.0905,0.00839079,-999,0,-999,7.6631
92,3,3,920.8,0,6.93309e-310,0,5000,86.5586,146.85,96.0818,0.00830422,-999,0,-999,7.51994
93,3,3,930.7,0,6.93309e-310,0,5000,87.4232,148.088,97.0727,0.00821946,-999,0,-999,7.38095
94,3,3,940.6,0,6.93309e-310,0,5000,88.2872,149.323,98.0631,0.00813644,-999,0,-999,7.24596
95,3,3,950.5,0,6.93309e-310,0,5000,89.1505,150.556,99.0531,0.00805512,-999,0,-999,7.1148
96,3,3,960.4,0,6.93309e-310,0,5000,90.0132,151.786,100.043,0.00797544,-999,0,-999,6.98735
97,3,3,970.3,0,6.93309e-310,0,5000,90.8752,153.013,101.032,0.00789735,-999,0,-999,6.86345
98,3,3,980.2,0,6.93309e-310,0,5000,91.7367,154.237,102.021,0.00782081,-999,0,-999,6.74297
99,3,3,990.1,0,6.93309e-310,0,5000,92.5975,155.459,103.009,0.00774577,-999,0,-999,6.62579
100,3,3,1000,0,6.93309e-310,0,5000,93.4577,156.678,103.997,0.00767218,-999,0,-999,6.51178
101,3,3,10,0,6.93309e-310,1,5000,2.18547,7.43901,1.07287,0.743691,-999,0,-999,13294.3
102,3,3,19.9,0,6.93309e-310,1,5000,3.31011,11.1458,3.02736,0.263558,-999,0,-999,3144.51
103,3,3,29.8,0,6.93309e-310,1,5000,4.40585,14.2527,5.56852,0.143285,-999,0,-999,1336.88
104,3,3,39.7,0,6.93309e-310,1,5000,5.48104,16.7764,6.66906,0.11964,-999,0,-999,948.34
105,3,3,49.6,0,6.93309e-310,1,5000,6.54034,19.0435,7.69272,0.103719,-999,0,-999,724.271
106,3,3,59.5,0,6.93309e-310,1,5000,7.58669,21.1335,8.65808,0.0921549,-999,0,-999,579.878
107,3,3,69.4,0,6.93309e-310,1,5000,8.62216,23.0861,9.57699,0.0833127,-999,0,-999,479.899
108,3,3,79.3,0,6.93309e-310,1,5000,9.64825,24.928,10.4576,0.0762968,-999,0,-999,407.012
109,3,3,89.2,0,6.93309e-310,1,5000,10.6661,26.6782,11.306,0.070572,-999,0,-999,351.775
110,3,3,99.1,0,6.93309e-310,1,5000,11.6766,28.3618,12.1929,0.0654385,-999,0,-999,306.824
111,3,3,109,0,6.93309e-310,1,5000,12.6805,30.297,13.2751,0.060104,-999,0,-999,263.811
112,3,3,118.9,0,6.93309e-310,1,5000,13.6784,32.1809,14.3497,0.0556027,-999,0,-999,229.766
113,3,3,128.8,0,6.93309e-310,1,5000,14.6708,34.019,15.4176,0.0517516,-999,0,-999,202.297
114,3,3,138.7,0,6.93309e-310,1,5000,15.6581,35.8158,16.4791,0.0484179,-999,0,-999,179.771
115,3,3,148.6,0,6.93309e-310,1,5000,16.6407,37.575,17.5349,0.0455028,-999,0,-999,161.038
116,3,3,158.5,0,6.93309e-310,1,5000,17.6189,39.2998,18.5852,0.0429313,-999,0,-999,145.269
117,3,3,168.4,0,6.93309e-310,1,5000,18.593,40.993,19.6304,0.0406453,-999,0,-999,131.853
118,3,3,178.3,0,6.93309e-310,1,5000,19.5632,42.6569,20.671,0.0385993,-999,0,-999,120.331
119,3,3,188.2,0,6.93309e-310,1,5000,20.5298,44.2937,21.707,0.036757,-999,0,-999,110.354
120,3,3,198.1,0,6.93309e-310,1,5000,21.493,45.9051,22.7389,0.035089,-999,0,-999,101.648
121,3,3,208,0,6.93309e-310,1,5000,22.4528,47.4927,23.7667,0.0335715,-999,0,-999,94.001
122,3,3,217.9,0,6.93309e-310,1,5000,23.4096,49.0581,24.7908,0.0321847,-999,0,-999,87.2424
123,3,3,227.8,0,6.93309e-310,1,5000,24.3634,50.6025,25.8113,0.0309122,-999,0,-999,81.2357
124,3,3,237.7,0,6.93309e-310,1,5000,25.3144,52.1272,26.8283,0.0297404,-999,0,-999,75.8703
125,3,3,247.6,0,6.93309e-310,1,5000,26.2626,53.633,27.8421,0.0286575,-999,0,-999,71.0551
126,3,3,257.5,0,6.93309e-310,1,5000,27.2083,55.1211,28.8526,0.0276538,-999,0,-999,66.7153
127,3,3,267.4,0,6.93309e-310,1,5000,28.1515,56.5923,29.8602,0.0267206,-999,0,-999,62.7883
128,3,3,277.3,0,6.93309e-310,1,5000,29.0923,58.0474,30.8649,0.0258509,-999,0,-999,59.2218
129,3,3,287.2,0,6.93309e-310,1,5000,30.0308,59.4871,31.8668,0.0250381,-999,0,-999,55.9716
130,3,3,297.1,0,6.93309e-310,1,5000,30.967,60.9122,32.866,0.0242769,-999,0,-999,53.0003
131,3,3,307,0,6.93309e-310,1,5000,31.9012,62.3231,33.8626,0.0235624,-999,0,-999,50.2758
132,3,3,316.9,0,6.93309e-310,1,5000,32.8332,63.7529,34.8733,0.0228795,-999,0,-999,47.724
133,3,3,326.8,0,6.93309e-310,1,5000,33.7632,65.3053,35.9071,0.0222208,-999,0,-999,45.248
134,3,3,336.7,0,6.93309e-310,1,5000,34.6913,66.8478,36.9398,0.0215996,-999,0,-999,42.9683
135,3,3,346.6,0,6.93309e-310,1,5000,35.6175,68.3805,37.9711,0.0210129,-999,0,-999,40.8642
136,3,3,356.5,0,6.93309e-310,1,5000,36.5419,69.9039,39.0014,0.0204579,-999,0,-999,38.9178
137,3,3,366.4,0,6.93309e-310,1,5000,37.4645,71.4183,40.0304,0.019932,-999,0,-999,37.1133
138,3,3,376.3,0,6.93309e-310,1,5000,38.3854,72.9239,41.0584,0.0194329,-999,0,-999,35.437
139,3,3,386.2,0,6.93309e-310,1,5000,39.3046,74.4211,42.0852,0.0189588,-999,0,-999,33.8769
140,3,3,396.1,0,6.93309e-310,1,5000,40.2222,75.91,43.111,0.0185077,-999,0,-999,32.4221
141,3,3,406,0,6.93309e-310,1,5000,41.1382,77.391,44.1358,0.018078,-999,0,-999,31.0633
142,3,3,415.9,0,6.93309e-310,1,5000,42.0527,78.8643,45.1595,0.0176681,-999,0,-999,29.792
143,3,3,425.8,0,6.93309e-310,1,5000,42.9656,80.3302,46.1823,0.0172769,-999,0,-999,28.6006
144,3,3,435.7,0,6.93309e-310,1,5000,43.8771,81.7887,47.2041,0.0169029,-999,0,-999,27.4825
145,3,3,445.6,0,6.93309e-310,1,5000,44.7871,83.2401,48.225,0.016545,-999,0,-999,26.4316
146,3,3,455.5,0,6.93309e-310,1,5000,45.6957,84.6847,49.245,0.0162024,-999,0,-999,25.4427
147,3,3,465.4,0,6.93309e-310,1,5000,46.603,86.1225,50.264,0.0158739,-999,0,-999,24.5107
148,3,3,475.3,0,6.93309e-310,1,5000,47.5089,87.5538,51.2822,0.0155587,-999,0,-999,23.6313
149,3,3,485.2,0,6.93309e-310,1,5000,48.4135,88.9787,52.2996,0.015256,-999,0,-999,22.8005
150,3,3,495.1,0,6.93309e-310,1,5000,49.3169,90.3974,53.3161,0.0149652,-999,0,-999,22.0148
151,3,3,505,0,6.93309e-310,1,5000,50.2189,91.81,54.3318,0.0146854,-999,0,-999,21.2708
152,3,3,514.9,0,6.93309e-310,1,5000,51.1198,93.2167,55.3467,0.0144161,-999,0,-999,20.5657
153,3,3,524.8,0,6.93309e-310,1,5000,52.0194,94.6177,56.3608,0.0141567,-999,0,-999,19.8966
154,3,3,534.7,0,6.93309e-310,1,5000,52.9179,96.0129,57.3741,0.0139067,-999,0,-999,19.2612
155,3,3,544.6,0,6.93309e-310,1,5000,53.8152,97.4027,58.3867,0.0136655,-999,0,-999,18.6571
156,3,3,554.5,0,6.93309e-310,1,5000,54.7113,98.787,59.3985,0.0134327,-999,0,-999,18.0823
157,3,3,564.4,0,6.93309e-310,1,5000,55.6064,100.166,60.4096,0.0132079,-999,0,-999,17.5349
158,3,3,574.3,0,6.93309e-310,1,5000,56.5003,101.54,61.42,0.0129906,-999,0,-999,17.0131
159,3,3,584.2,0,6.93309e-310,1,5000,57.3932,102.909,62.4297,0.0127805,-999,0,-999,16.5153
160,3,3,594.1,0,6.93309e-310,1,5000,58.2851,104.273,63.4387,0.0125773,-999,0,-999,16.04
161,3,3,604,0,6.93309e-310,1,5000,59.1759,105.632,64.447,0.0123805,-999,0,-999,15.5859
162,3,3,613.9,0,6.93309e-310,1,5000,60.0656,106.986,65.4546,0.0121899,-999,0,-999,15.1517
163,3,3,623.8,0,6.93309e-310,1,5000,60.9544,108.335,66.4616,0.0120052,-999,0,-999,14.7363
164,3,3,633.7,0,6.93309e-310,1,5000,61.8422,109.68,67.468,0.0118261,-999,0,-999,14.3385
165,3,3,643.6,0,6.93309e-310,1,5000,62.729,111.021,68.4737,0.0116524,-999,0,-999,13.9573
166,3,3,653.5,0,6.93309e-310,1,5000,63.6149,112.357,69.4788,0.0114839,-999,0,-999,13.5918
167,3,3,663.4,0,6.93309e-310,1,5000,64.4999,113.688,70.4832,0.0113202,-999,0,-999,13.2412
168,3,3,673.3,0,6.93309e-310,1,5000,65.3839,115.016,71.4871,0.0111612,-999,0,-999,12.9046
169,3,3,683.2,0,6.93309e-310,1,5000,66.267,116.339,72.4904,0.0110068,-999,0,-999,12.5812
170,3,3,693.1,0,6.93309e-310,1,5000,67.1492,117.658,73.4931,0.0108566,-999,0,-999,12.2704
171,3,3,703,0,6.93309e-310,1,5000,68.0305,118.973,74.4952,0.0107106,-999,0,-999,11.9716
172,3,3,712.9,0,6.93309e-310,1,5000,68.911,120.285,75.4967,0.0105685,-999,0,-999,11.684
173,3,3,722.8,0,6.93309e-310,1,5000,69.7906,121.592,76.4977,0.0104302,-999,0,-999,11.4071
174,3,3,732.7,0,6.93309e-310,1,5000,70.6694,122.895,77.4981,0.0102955,-999,0,-999,11.1405
175,3,3,742.6,0,6.93309e-310,1,5000,71.5474,124.195,78.498,0.0101644,-999,0,-999,10.8835
176,3,3,752.5,0,6.93309e-310,1,5000,72.4245,125.491,79.4973,0.0100366,-999,0,-999,10.6357
177,3,3,762.4,0,6.93309e-310,1,5000,73.3008,126.783,80.4961,0.00991209,-999,0,-999,10.3966
178,3,3,772.3,0,6.93309e-310,1,5000,74.1764,128.072,81.4944,0.00979067,-999,0,-999,10.1659
179,3,3,782.2,0,6.93309e-310,1,5000,75.0511,129.357,82.4921,0.00967225,-999,0,-999,9.94321
180,3,3,792.1,0,6.93309e-310,1,5000,75.9251,130.639,83.4894,0.00955672,-999,0,-999,9.72806
181,3,3,802,0,6.93309e-310,1,5000,76.7983,131.917,84.4861,0.00944397,-999,0,-999,9.52014
182,3,3,811.9,0,6.93309e-310,1,5000,77.6707,133.192,85.4824,0.00933391,-999,0,-999,9.31913
